시도명,시군구명,시설명,상세주소,시설면적,경도,위도
서울특별시,관악구,미성초등학교 운동장,서울특별시 관악구 신림동   768-23,3245,126.913295,37.477683
서울특별시,관악구,미성중학교 운동장,서울특별시 관악구 신림동   745-24,1618,126.91215,37.475377
서울특별시,관악구,합실어린이공원,서울특별시 관악구 신림동   321-5,1220,126.930236,37.461986
서울특별시,관악구,관악산 만남의 광장,서울특별시 관악구 신림동   305-26,2753,126.93172,37.465713
서울특별시,관악구,인헌중학교 운동장,서울특별시 관악구 봉천동   1647-0,3372,126.969595,37.47284
서울특별시,관악구,문영여자중학교 운동장,서울특별시 관악구 봉천동   1695-0,2879,126.950965,37.473157
서울특별시,관악구,청룡초등학교 운동장,서울특별시 관악구 봉천동   390-3,3897,126.951122,37.476068
서울특별시,관악구,낙성대공원,서울특별시 관악구 봉천동   228-0,5894,126.95995,37.471222
서울특별시,관악구,백설어린이공원,서울특별시 관악구 봉천동   1606-11,1128,126.953739,37.476183
서울특별시,관악구,상록어린이공원,서울특별시 관악구 남현동   602-196,1020,126.980309,37.473006
서울특별시,관악구,해태어린이공원,서울특별시 관악구 신림동   103-141,652,126.9406,37.472501
서울특별시,관악구,원신초등학교 운동장,서울특별시 관악구 신림동   336-0,1588,126.927444,37.466935
서울특별시,관악구,난곡초등학교 운동장,서울특별시 관악구 신림동   711-136,7332,126.917172,37.469373
서울특별시,관악구,미림여자고등학교 운동장,서울특별시 관악구 신림동   1557-1,7004,126.932743,37.466793
서울특별시,관악구,신관중학교 운동장,서울특별시 관악구 신림동   87-81,2044,126.934573,37.480282
서울특별시,관악구,일선어린이공원,서울특별시 관악구 봉천동   1587-7,1028,126.949439,37.478012
서울특별시,관악구,새숲어린이공원,서울특별시 관악구 신림동   539-14,963,126.913093,37.482401
서울특별시,관악구,비안어린이공원,서울특별시 관악구 봉천동   1530-14,1131,126.940192,37.480877
서울특별시,관악구,교체어린이공원,서울특별시 관악구 봉천동   196-193,813,126.964068,37.473376
서울특별시,관악구,남부창의어린이공원,서울특별시 관악구 신림동   483-14,999,126.920548,37.485054
