시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
강원도,횡성군,둔내고등학교 ,강원도 횡성군 둔내면 둔내로 22,370,128.213043,37.511684,이세정
강원도,횡성군,현천고등학교 ,강원도 횡성군 둔내면 경강로 4119,586,128.170954,37.486098,신승침
강원도,횡성군,갑천초등학교,강원도 횡성군 갑천면 청정로 262,729,128.107994,37.557446,노금옥
강원도,횡성군,갑천고등학교 ,강원도 횡성군 갑천면 갑천로 17,275,128.113819,37.560447,한석웅
강원도,횡성군,공근중학교 ,강원도 횡성군 공근면 학담4길 21,421,127.962424,37.540039,권용덕
강원도,횡성군,유현초등학교 ,강원도 횡성군 서원면 경강로 711,874,127.875144,37.526577,이찬주
강원도,횡성군,서원중학교,강원도 횡성군 서원면 서원로 131,652,127.846317,37.486952,최지훈
강원도,횡성군,강림초등학교,강원도 횡성군 강림면 태종로강림4길 11,292,128.120104,37.358235,이상세
강원도,횡성군,강림중학교,강원도 횡성군 강림면 주천강로 1145,496,128.126705,37.364162,
강원도,영월군,영월초등학교,강원도 영월군 영월읍 하송안길 100,1644,128.468779,37.182021,권성섭
강원도,영월군,내성초등학교,강원도 영월군 영월읍 내성안길 9,905,128.474621,37.190012,조유신
강원도,영월군,녹전초등학교,강원도 영월군 중동면 유전길 3-2 ,1101,128.681506,37.147666,박영호
강원도,영월군,옥동초등학교,강원도 영월군 김삿갓면 영월동로 1679,832.6,128.570079,37.130163,유보상
강원도,영월군,마차초등학교,강원도 영월군 북면 밤재로 221,251,128.453442,37.257232,김경숙
강원도,영월군,신천초등학교 ,강원도 영월군 한반도면 신천길 4,790,128.328658,37.235058,신권식
강원도,영월군,쌍룡초등학교,강원도 영월군 한반도면 무동길 50,1255,128.31949,37.178246,심재한
강원도,평창군,평창중학교,강원도 평창군 평창읍 노성로 145,959,128.398754,37.368946,고경란
강원도,원주시,태봉초등학교,강원도 원주시 흥양로51번길 113(태장동),426,127.956416,37.386044,
강원도,원주시,무실초등학교,강원도 원주시 만대로 155(무실동),672,127.921901,37.334983,
강원도,원주시,만대초등학교,강원도 원주시 만대로 65(무실동),643,127.920548,37.339287,
강원도,원주시,관설초등학교,강원도 원주시 치악로 1355(관설동),456,127.976337,37.308713,
강원도,강릉시,성산초등학교,강원도 강릉시 성산면 구산길 15,1934,128.833342,37.718352,최철영
강원도,강릉시,송양초등학교,강원도 강릉시 성산면 위촌길 198,280,128.846952,37.758602,김남철
강원도,강릉시,구정초등학교,강원도 강릉시 구정면 범일로 266-14 ,773,128.891073,37.717829,박애자
강원도,강릉시,운양초등학교,강원도 강릉시 사천면 이설당1길 36,837,128.859037,37.836751,윤선희
강원도,강릉시,신왕초등학교,강원도 강릉시 연곡면 진고개로 2265-11 ,337,128.787794,37.853728,조영무
강원도,강릉시,연곡초등학교,강원도 강릉시 연곡면 진고개로 2656,1454,128.82874,37.857085,류상구
강원도,강릉시,강릉노인종합복지관,강원도 강릉시 경강로 1956(홍제동),3124,128.883947,37.747698,조태순
강원도,강릉시,중앙동주민센터,강원도 강릉시 토성로 163(임당동),502,128.894069,37.755995,김현수
강원도,강릉시,관동중학교,강원도 강릉시 하슬라로20번길 14(교동),1226,128.879696,37.756954,김동혁
강원도,강릉시,율곡중학교,강원도 강릉시 가작로 125(교동),1231,128.88904,37.770284,이석봉
강원도,강릉시,교2동 주민센터,강원도 강릉시 율곡로 2974(교동),1120,128.892352,37.767937,이철희
강원도,강릉시,하슬라중학교,강원도 강릉시 보래미길 9(포남동),988,128.907063,37.771979,김원기
강원도,강릉시,초당초등학교,강원도 강릉시 연당길 35-11 (초당동),1264,128.91345,37.781115,조광형
강원도,강릉시,강릉녹색도시체험센터 체험연수센터,강원도 강릉시 난설헌로 131(초당동),3628,128.907386,37.79057,
강원도,강릉시,강릉고등학교,강원도 강릉시 강릉대로587번길 68(초당동),2260,128.91714,37.788689,
강원도,강릉시,남산초등학교,강원도 강릉시 남산초교길 33(내곡동),1125,128.892,37.744908,문종구
강원도,강릉시,명주초등학교,강원도 강릉시 강변로 86-1 (회산동),609,128.878805,37.742924,정종대
강원도,강릉시,노암초등학교,강원도 강릉시 노암등길 71(노암동),1135,128.901998,37.741647,박증구
강원도,강릉시,모산초등학교,강원도 강릉시 모산로224번길 3(장현동),1962,128.901543,37.731182,최신각
강원도,강릉시,중앙초등학교,강원도 강릉시 성덕포남로 18(입암동),993,128.922355,37.757979,권순익
강원도,동해시,남호초등학교,강원도 동해시 평원로 120(평릉동),1002,129.112979,37.534202,학교장
강원도,동해시,천곡초등학교 ,강원도 동해시 동굴로 33(천곡동),2279,129.107768,37.517812,학교장
강원도,동해시,중앙초등학교,강원도 동해시 천곡로 35(천곡동),2242,129.109265,37.525349,학교장
강원도,동해시,동해초등학교,강원도 동해시 봉오주택길 22(용정동),2163,129.121444,37.511393,학교장
강원도,동해시,북삼초등학교,강원도 동해시 지양길 77(지흥동),1106,129.101444,37.495242,학교장
강원도,동해시,청운초등학교,강원도 동해시 청운로 60(쇄운동),513,129.104221,37.485433,학교장
강원도,동해시,동해광희고등학교,강원도 동해시 청운로 112(동회동),2779,129.102902,37.489574,학교장
강원도,동해시,북평고등학교,강원도 동해시 효자남길 51(동회동),1759,129.107064,37.491554,학교장
강원도,동해시,묵호고등학교 ,강원도 동해시 승지로 37(부곡동),1041,129.095815,37.537801,학교장
강원도,동해시,동호초등학교,강원도 동해시 발한로 123(발한동),991,129.100666,37.54398,학교장
강원도,동해시,동해중학교,강원도 동해시 느릅재길 37(발한동),1069,129.096959,37.543408,학교장
강원도,동해시,북평여자중학교,강원도 동해시 선돌길 21(북평동),2434,129.123499,37.480847,학교장
강원도,동해시,망상초등학교,강원도 동해시 동해대로 6251(망상동),220,129.09026,37.590879,학교장
강원도,동해시,묵호초등학교 ,강원도 동해시 발한천길 30(발한동),1030,129.102161,37.552356,학교장
강원도,동해시,산림조합중앙회목재유통센타동해,강원도 동해시 동해대로 6100(망상동),1417,129.100982,37.581532,이종헌
강원도,동해시,묵호여자중학교,강원도 동해시 발한로 347(발한동),1017,129.102357,37.560169,학교장
강원도,동해시,발한삼성아파트경로당,"강원도 동해시 해안로 605(발한동, 발한삼성아파트)",71,129.103148,37.553089,장봉남
강원도,태백시,황지중학교,강원도 태백시 문화로 16(황지동),966,128.98797,37.16655,권혁훈
강원도,태백시,황지중앙초등학교,강원도 태백시 태백로 810(황지동),603,128.984046,37.180027,행정실장
강원도,태백시,황지여자중학교,강원도 태백시 연지로33번길 26(황지동),1258,128.989155,37.178364,행정실장(김극철)
강원도,태백시,상장중학교,강원도 태백시 태백로 1221(황지동),172,128.992572,37.150131,행정실장
강원도,태백시,상장초등학교,강원도 태백시 태백로 1223(황지동),559,128.992822,37.149034,행정실장
강원도,태백시,태백국민체육센터,강원도 태백시 번영로 220(황지동),1284,128.985102,37.162729,스포츠레저담당
강원도,태백시,함태초등학교,강원도 태백시 소도길 69(소도동),718,128.976706,37.138569,행정실장
경기도,연천군,백의초등학교,경기도 연천군 청산면 청창로726번길 38,339,127.134138,38.022937,강한나
경기도,연천군,초성초등학교,경기도 연천군 청산면 학담로 104,439,127.07347,37.997928,강한나
경기도,연천군,백학초등학교,경기도 연천군 백학면 백학로40번길 23,433.84,126.921422,38.031927,송대근
경기도,연천군,백학중학교,경기도 연천군 백학면 두일로 79,250,126.908384,38.025862,송대근
경기도,가평군,가평체육관,경기도 가평군 가평읍 문화로 131,3214,127.506991,37.823668,복지정책과 유현정
경기도,가평군,설악중고등학교 강당,경기도 가평군 설악면 한양부로 21-1 ,999,127.493534,37.68088,유현정
경기도,가평군,상면초등학교 체육관,경기도 가평군 상면 청군로 700-22 ,942,127.371176,37.77659,장규일
경기도,양평군,양평읍사무소,경기도 양평군 양평읍 양근강변길 7,579,127.493557,37.486542,김승호
경기도,양평군,양평문화원,경기도 양평군 양평읍 마유산로 5,799,127.485926,37.497551,전봉진
