시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
전라북도,장수군,장계공고 ,전라북도 장수군 장계면 장계리 273-0,6000,111,32,
경상북도,포항시,우각2리 마을회관 주변,경상북도 포항시 북구 신광면 우각리 513-0,200,129.257453,36.114992,조상수
경상북도,포항시,청계리 마을회관 주변,경상북도 포항시 북구 청하면 청계리 555-1,200,129.325918,36.211993,조상수
경상북도,포항시,미남리 마을회관 주변,경상북도 포항시 북구 청하면 미남리 525-1,200,129.341481,36.194323,조상수
경상북도,포항시,호암경로당 주변,경상북도 포항시 북구 청하면 소동리 793-93,200,129.344391,36.167208,조상수
경상북도,포항시,남계리 마을회관 주변,경상북도 포항시 북구 기계면 남계리 131-1,200,129.125221,36.103233,조상수
경상북도,포항시,성계2리 마을회관 주변,경상북도 포항시 북구 기계면 성계리 655-0,200,129.211105,36.058141,조상수
경상북도,포항시,율산1리 마을회관 주변,경상북도 포항시 북구 기북면 율산리 1152-6,200,129.175186,36.12427,조상수
경상북도,포항시,율산2리 마을회관 주변,경상북도 포항시 북구 기북면 율산리 775-0,200,129.177361,36.131258,조상수
경상북도,포항시,수곡리 경로당 주변,경상북도 포항시 북구 기북면 대곡리 335-0,200,129.171703,36.116232,조상수
경상북도,포항시,양학생활체육운동장,경상북도 포항시 북구 득량동   219-0,6500,129.340831,36.036154,조상수
경상북도,포항시,죽도빗물펌프장,경상북도 포항시 북구 죽도동   45-1,700,129.363857,36.033633,조상수
경상북도,포항시,죽도초등학교 운동장,경상북도 포항시 북구 죽도동   633-5,6500,129.355965,36.021683,조상수
경상북도,포항시,대흥중학교 운동장,경상북도 포항시 북구 용흥동   418-9,5000,129.353821,36.044908,조상수
경상북도,포항시,용흥중학교 운동장,경상북도 포항시 북구 용흥동   340-0,3700,129.350859,36.037195,조상수
경상북도,포항시,포항남부초등학교 운동장,경상북도 포항시 북구 용흥동   615-6,5500,129.356064,36.028127,조상수
경상북도,포항시,두호초등학교 운동장,경상북도 포항시 북구 창포동   614-0,5000,129.368667,36.064324,조상수
경상북도,포항시,창포6공원,경상북도 포항시 북구 두호동   1097-1,2600,129.372489,36.067357,조상수
경상북도,포항시,장성15어린이공원,경상북도 포항시 북구 장성동   1566-8,1600,129.384307,36.076324,조상수
경상북도,포항시,포항대학교 운동장,경상북도 포항시 북구 흥해읍 죽천리 442-1,11000,129.409406,36.085402,조상수
경상북도,포항시,장성고등학교 운동장,경상북도 포항시 북구 장성동   1498-1,4200,129.38518,36.085809,조상수
경상북도,포항시,항구초등학교 운동장,경상북도 포항시 북구 환호동   504-0,6000,129.400486,36.070346,조상수
경상북도,포항시,구만2리 마을회관 주변,경상북도 포항시 남구 호미곶면 구만리 576-16,200,129.550605,36.080363,조상수
전라북도,정읍시,수성동 근린공원,전라북도 정읍시 수성동   931-0,9600,126.85361,35.58171,공원담당
전라북도,군산시,구암근린공원,전라북도 군산시 구암동   613-0,2376,126.743035,35.988079,
경상북도,포항시,고현2리 마을회관 ,경상북도 포항시 북구 청하면 고현리 395-3,200,129.329881,36.166074,조상수
경상북도,포항시,보경사 주차장,경상북도 포항시 북구 송라면 중산리 544-32,10000,129.320535,36.243821,조상수
